,precision,recall,f1-score,support
0,0.8905775075987842,0.7306733167082294,0.8027397260273973,401.0
1,0.9763157894736842,0.9183168316831684,0.9464285714285714,404.0
2,0.9665071770334929,0.9417249417249417,0.9539551357733176,429.0
3,0.9546599496221663,0.994750656167979,0.974293059125964,381.0
4,0.9133663366336634,0.924812030075188,0.9190535491905355,399.0
5,0.9699248120300752,0.9772727272727273,0.9735849056603774,396.0
6,0.8364485981308412,0.8668280871670703,0.8513674197384067,413.0
7,0.8370786516853933,0.7582697201017812,0.7957276368491322,393.0
8,0.7664233576642335,0.7572115384615384,0.7617896009673518,416.0
9,0.774390243902439,0.9338235294117647,0.8466666666666667,408.0
10,0.9306666666666666,0.9331550802139037,0.931909212283044,374.0
11,0.8236842105263158,0.7634146341463415,0.7924050632911392,410.0
12,0.92,0.9331742243436754,0.9265402843601896,419.0
13,0.7565632458233891,0.8453333333333334,0.7984886649874056,375.0
14,0.6033057851239669,0.7545219638242894,0.6704936854190586,387.0
15,0.9502369668246445,0.9391100702576113,0.9446407538280329,427.0
16,0.7927927927927928,0.631578947368421,0.7030625832223701,418.0
17,0.9645569620253165,0.9596977329974811,0.9621212121212122,397.0
accuracy,0.8642196771077687,0.8642196771077687,0.8642196771077687,0.8642196771077687
macro avg,0.868194391864326,0.8646482980699692,0.8641815406077875,7247.0
weighted avg,0.8687953901464025,0.8642196771077687,0.8642733598970246,7247.0
