,33059000,33043000,33069000,39249000,33049100,96032100,33030010,34013000,33072090,34011190,33042010,33030020,33041000,33072010,33049910,33051000,33049990,33061000
33059000,293,2,3,2,3,0,0,5,13,4,0,0,11,7,35,16,6,1
33043000,4,371,0,3,2,0,0,0,1,2,4,0,3,2,5,0,7,0
33069000,2,0,404,0,1,3,0,0,0,2,0,1,0,9,0,0,0,7
39249000,0,0,0,379,0,1,0,1,0,0,0,0,0,0,0,0,0,0
33049100,1,0,1,1,369,0,0,0,2,4,4,0,4,0,6,0,7,0
96032100,0,0,0,1,0,387,1,0,1,0,0,0,0,0,0,0,0,6
33030010,1,0,0,1,1,0,358,0,3,0,0,42,0,4,1,0,2,0
34013000,0,1,0,0,0,1,1,298,1,67,0,1,0,2,19,1,1,0
33072090,4,1,0,0,1,0,2,2,315,5,0,2,2,52,23,1,6,0
34011190,0,0,1,2,0,1,0,17,1,381,1,0,0,0,3,0,1,0
33042010,0,0,0,0,7,0,2,0,0,5,349,1,2,1,5,0,2,0
33030020,0,0,0,0,2,0,60,1,2,2,1,313,0,18,7,0,4,0
33041000,0,1,0,2,3,0,0,1,0,1,12,0,391,0,6,0,2,0
33072010,1,0,0,1,0,0,3,2,23,7,0,16,0,317,4,1,0,0
33049910,7,0,2,0,4,0,0,15,21,6,2,1,2,3,292,2,30,0
33051000,11,0,0,0,0,0,0,2,3,3,0,0,0,0,7,401,0,0
33049990,4,4,4,4,11,0,1,12,25,3,2,3,10,1,70,0,264,0
33061000,1,0,3,1,0,6,0,0,0,0,0,0,0,3,1,0,1,381
