,result,train_time,pred_time
0,"[0.9297072291374207, 0.7751312255859375]",443.5585720539093,2.695469856262207
1,"[1.0086385011672974, 0.7465684413909912]",437.6217234134674,2.69545841217041
2,"[0.9657626748085022, 0.7645336985588074]",443.54359102249146,2.701718807220459
3,"[0.9978295564651489, 0.7640290856361389]",443.5381999015808,2.692525625228882
4,"[0.9005210399627686, 0.7734154462814331]",443.5389771461487,2.166163444519043
5,"[0.9209728240966797, 0.775333046913147]",443.48742032051086,2.173178195953369
6,"[0.9131969213485718, 0.7782599925994873]",443.4651424884796,2.6997992992401123
7,"[1.0439344644546509, 0.7459628582000732]",443.5215301513672,2.694330930709839
8,"[0.9386928081512451, 0.7681671380996704]",443.52677297592163,2.6946797370910645
9,"[0.9168701767921448, 0.7724061608314514]",443.51536226272583,2.6952741146087646
