,result,train_time,pred_time
0,"[0.5230926871299744, 0.8526286482810974]",118.36982536315918,2.787092447280884
1,"[0.5263999104499817, 0.8545604944229126]",117.11785221099854,1.4005119800567627
2,"[0.5229498147964478, 0.8551124334335327]",117.9430820941925,1.279587745666504
3,"[0.5402270555496216, 0.850834846496582]",117.79079508781433,1.27150559425354
4,"[0.5427033305168152, 0.8449013233184814]",143.20824790000916,1.2874445915222168
5,"[0.5382888913154602, 0.849868893623352]",117.53016591072083,1.4007997512817383
6,"[0.5712156891822815, 0.841589629650116]",119.64115977287292,1.394279956817627
7,"[0.5258696675300598, 0.8541465401649475]",117.33426094055176,1.2679805755615234
8,"[0.5481910705566406, 0.850834846496582]",118.54408288002014,1.3983278274536133
9,"[0.5358907580375671, 0.850558876991272]",143.22002029418945,1.3919928073883057
