,result,train_time,pred_time
0,"[0.46213361620903015, 0.8628398180007935]",22.885683059692383,0.7494351863861084
1,"[0.46048182249069214, 0.8599420189857483]",83.19578075408936,0.7454607486724854
2,"[0.46342378854751587, 0.8615978956222534]",11.691997289657593,0.5867016315460205
3,"[0.45824483036994934, 0.8599420189857483]",11.717132568359375,0.7443544864654541
4,"[0.4592990577220917, 0.8617358803749084]",11.993952989578247,0.5829088687896729
5,"[0.46640458703041077, 0.8591141104698181]",21.775297164916992,0.7438416481018066
6,"[0.459918349981308, 0.857320249080658]",21.74533438682556,0.5765089988708496
7,"[0.450280100107193, 0.8640816807746887]",11.842499017715454,0.5845301151275635
8,"[0.4639875590801239, 0.857458233833313]",21.759609699249268,0.5825226306915283
9,"[0.4628169536590576, 0.8596660494804382]",11.72388505935669,0.5951123237609863
