,result,train_time,pred_time
0,"[0.7500961422920227, 0.7869398593902588]",21.7460036277771,0.7714214324951172
1,"[0.7509585618972778, 0.7818934321403503]",17.029915809631348,1.0634207725524902
2,"[0.7459837198257446, 0.7818934321403503]",17.02273654937744,0.7470436096191406
3,"[0.7790400385856628, 0.7727088928222656]",17.128170013427734,0.7653648853302002
4,"[0.7632889151573181, 0.775333046913147]",21.77503800392151,1.3898050785064697
5,"[0.767208456993103, 0.7807831764221191]",21.780314445495605,0.7473549842834473
6,"[0.7515316605567932, 0.779874861240387]",17.198569536209106,0.7466790676116943
7,"[0.7524224519729614, 0.7831045389175415]",22.120237350463867,1.3845188617706299
8,"[0.7498553991317749, 0.7774525880813599]",21.765058279037476,0.7450249195098877
9,"[0.7690126895904541, 0.7707912921905518]",21.76343059539795,1.383028507232666
